og_id;ae_rva;confidence_tier;evidence;replacement_strategy;allow_candidate_correction
8308;0x30ED8A0;high;targeted_ida_game_setting_constructor_singleton_store;id_only;yes
226372;0x2ED1B00;high;targeted_ida_bsthashmap_layout_and_member_references;id_only;no
484974;0x30DC080;high;targeted_ida_default_object_manager_singleton_pointer;rewrite_global_pointer;yes
767844;0x3394A60;high;targeted_ida_ini_pref_init_collection_singleton_store;id_only;yes
838886;0x2ED9F90;high;targeted_ida_default_object_data_394_entry_layout;id_only;no
847741;0x3268DB0;high;targeted_ida_flat_screen_model_constructor_singleton_store;id_only;no
1502917;0x1657D20;high;targeted_ida_reallocate_allocate_copy_deallocate_behavior;id_only;yes
454316;0x2F50298;high;targeted_ida_dynamic_initializer_and_destructor_name;id_only;no
642758;0x30E0E50;high;targeted_ida_tesform_editor_id_map_references;id_only;no
691815;0x30E0E98;high;targeted_ida_tesform_all_forms_lock_references;id_only;no
791183;0x343B038;high;targeted_ida_ini_init_collection_singleton_store;id_only;no
910917;0x30E0EA0;high;targeted_ida_tesform_editor_id_map_lock_references;id_only;no
1407033;0x3307720;high;targeted_ida_console_pick_index_references;id_only;no
40925;0x1680F80;high;targeted_ida_uncache_all_inlined_behavior;id_only;no
150211;0x1B19B10;high;targeted_ida_scaleform_event_semantics;id_only;no
206895;0x1B1B670;high;targeted_ida_movie_viewport_semantics;id_only;no
523613;0x30E6F0;high;targeted_ida_description_loading_semantics;id_only;no
901626;0x22CA40;high;targeted_ida_pointer_handle_creation_semantics;id_only;no
1061864;0x1035EC0;high;targeted_ida_console_command_strings_and_flow;id_only;no
1107298;0x1B1D1C0;high;targeted_ida_menu_cursor_center_semantics;id_only;no
1154936;0xD31790;high;targeted_ida_current_ammo_semantics;id_only;no
1163005;0xA36F60;high;targeted_ida_hud_event_construction_and_dispatch;id_only;no
1191277;0x1B1B500;high;targeted_ida_movie_filename_semantics;id_only;no
1318193;0x1B1D330;high;targeted_ida_menu_cursor_registration_semantics;id_only;no
1372435;0x16592F0;high;targeted_ida_try_lock_for_read_semantics;id_only;no
1390486;0x167E800;high;targeted_ida_bucket_table_size_and_initialization;id_only;no
1548060;0x248880;high;targeted_ida_remove_invalid_mods_semantics;id_only;no
1569384;0x11C3EB0;high;targeted_ida_awards_system_static_instance_init;id_only;no
